p,d,q,constant,AICC
0,1,0,FALSE,-46902
0,1,1,FALSE,-46958.35
0,1,2,FALSE,-46961.45
0,1,3,FALSE,-46959.47
1,1,0,FALSE,-46960.51
1,1,1,FALSE,-46963.24
1,1,2,FALSE,-46959.45
1,1,3,FALSE,-46957.45
2,1,0,FALSE,-46961.91
2,1,1,FALSE,-46959.9
2,1,2,FALSE,-46959.72
2,1,3,FALSE,-46986.12
3,1,0,FALSE,-46959.97
3,1,1,FALSE,-46957.91
3,1,2,FALSE,-46982.99
3,1,3,FALSE,-47052.78
0,1,0,TRUE,-46900.09
0,1,1,TRUE,-46956.43
0,1,2,TRUE,-46959.53
0,1,3,TRUE,-46957.55
1,1,0,TRUE,-46958.59
1,1,1,TRUE,-46961.76
1,1,2,TRUE,-46957.53
1,1,3,TRUE,-46955.53
2,1,0,TRUE,-46959.99
2,1,1,TRUE,-46957.98
2,1,2,TRUE,-46957.81
2,1,3,TRUE,-46984.2
3,1,0,TRUE,-46958.05
3,1,1,TRUE,-46955.99
3,1,2,TRUE,-46980.94
3,1,3,TRUE,-47050.73